edad,sexo,año,total,rango_edad
21,hombre,2006,248.031,< 31
21,hombre,2005,256.159,< 31
21,hombre,2004,270.677,< 31
21,mujer,2006,235.545,< 31
21,mujer,2005,243.919,< 31
21,mujer,2004,257.921,< 31
21,hombre,2006,33.531,< 31
21,hombre,2005,31.054,< 31
21,hombre,2004,27.105,< 31
21,mujer,2006,33.556,< 31
21,mujer,2005,30.461,< 31
21,mujer,2004,26.947,< 31
22,hombre,2006,256.704,< 31
22,hombre,2005,271.272,< 31
22,hombre,2004,285.085,< 31
22,mujer,2006,244.307,< 31
22,mujer,2005,258.523,< 31
22,mujer,2004,270.22,< 31
22,hombre,2006,39.298,< 31
22,hombre,2005,38.609,< 31
22,hombre,2004,32.265,< 31
22,mujer,2006,38.364,< 31
22,mujer,2005,36.782,< 31
22,mujer,2004,31.43,< 31
23,hombre,2006,271.659,< 31
23,hombre,2005,285.655,< 31
23,hombre,2004,299.752,< 31
23,mujer,2006,258.977,< 31
23,mujer,2005,270.927,< 31
23,mujer,2004,286.304,< 31
23,hombre,2006,47.828,< 31
23,hombre,2005,44.949,< 31
23,hombre,2004,37.935,< 31
23,mujer,2006,45.179,< 31
23,mujer,2005,42.008,< 31
23,mujer,2004,36.176,< 31
24,hombre,2006,286.108,< 31
24,hombre,2005,300.308,< 31
24,hombre,2004,310.798,< 31
24,mujer,2006,271.416,< 31
24,mujer,2005,286.924,< 31
24,mujer,2004,296.715,< 31
24,hombre,2006,54.253,< 31
24,hombre,2005,52.175,< 31
24,hombre,2004,42.934,< 31
24,mujer,2006,50.317,< 31
24,mujer,2005,47.38,< 31
24,mujer,2004,39.462,< 31
25,hombre,2006,300.8,< 31
25,hombre,2005,311.37,< 31
25,hombre,2004,328.892,< 31
25,mujer,2006,287.428,< 31
25,mujer,2005,297.427,< 31
25,mujer,2004,312.762,< 31
25,hombre,2006,62.382,< 31
25,hombre,2005,57.624,< 31
25,hombre,2004,47.34,< 31
25,mujer,2006,55.512,< 31
25,mujer,2005,50.785,< 31
25,mujer,2004,42.225,< 31
26,hombre,2006,311.872,< 31
26,hombre,2005,329.593,< 31
26,hombre,2004,335.608,< 31
26,mujer,2006,298.031,< 31
26,mujer,2005,313.598,< 31
26,mujer,2004,318.794,< 31
26,hombre,2006,67.049,< 31
26,hombre,2005,62.733,< 31
26,hombre,2004,50.307,< 31
26,mujer,2006,58.062,< 31
26,mujer,2005,53.151,< 31
26,mujer,2004,43.375,< 31
27,hombre,2006,330.134,< 31
27,hombre,2005,336.224,< 31
27,hombre,2004,344.436,< 31
27,mujer,2006,314.137,< 31
27,mujer,2005,319.775,< 31
27,mujer,2004,330.038,< 31
27,hombre,2006,71.43,< 31
27,hombre,2005,65.423,< 31
27,hombre,2004,51.849,< 31
27,mujer,2006,59.936,< 31
27,mujer,2005,53.75,< 31
27,mujer,2004,43.699,< 31
28,hombre,2006,336.908,< 31
28,hombre,2005,345.228,< 31
28,hombre,2004,345.227,< 31
28,mujer,2006,320.49,< 31
28,mujer,2005,330.899,< 31
28,mujer,2004,329.792,< 31
28,hombre,2006,73.921,< 31
28,hombre,2005,66.181,< 31
28,hombre,2004,52.68,< 31
28,mujer,2006,59.641,< 31
28,mujer,2005,53.271,< 31
28,mujer,2004,43.128,< 31
29,hombre,2006,345.936,< 31
29,hombre,2005,345.985,< 31
29,hombre,2004,342.804,< 31
29,mujer,2006,331.781,< 31
29,mujer,2005,330.688,< 31
29,mujer,2004,329.297,< 31
29,hombre,2006,73.703,< 31
29,hombre,2005,66.479,< 31
29,hombre,2004,52.526,< 31
29,mujer,2006,58.563,< 31
29,mujer,2005,52.18,< 31
29,mujer,2004,42.557,< 31
30,hombre,2006,346.671,31-42
30,hombre,2005,343.743,31-42
30,hombre,2004,337.837,31-42
30,mujer,2006,331.46,31-42
30,mujer,2005,330.571,31-42
30,mujer,2004,323.481,31-42
30,hombre,2006,73.245,31-42
30,hombre,2005,65.738,31-42
30,hombre,2004,51.008,31-42
30,mujer,2006,56.729,31-42
30,mujer,2005,50.809,31-42
30,mujer,2004,40.765,31-42
31,hombre,2006,344.612,31-42
31,hombre,2005,338.872,31-42
31,hombre,2004,336.908,31-42
31,mujer,2006,331.479,31-42
31,mujer,2005,324.515,31-42
31,mujer,2004,324.278,31-42
31,hombre,2006,71.988,31-42
