Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;18 años;Españoles;Hombres;2006;221.811
Total Nacional;;18 años;Españoles;Hombres;2005;227.872
Total Nacional;;18 años;Españoles;Hombres;2004;236.595
Total Nacional;;18 años;Españoles;Hombres;2003;246.163
Total Nacional;;18 años;Españoles;Hombres;2002;254.126
Total Nacional;;18 años;Españoles;Hombres;2001;269.606
Total Nacional;;18 años;Españoles;Hombres;2000;283.474
Total Nacional;;18 años;Españoles;Mujeres;2006;210.286
Total Nacional;;18 años;Españoles;Mujeres;2005;216.686
Total Nacional;;18 años;Españoles;Mujeres;2004;224.743
Total Nacional;;18 años;Españoles;Mujeres;2003;233.608
Total Nacional;;18 años;Españoles;Mujeres;2002;241.933
Total Nacional;;18 años;Españoles;Mujeres;2001;256.620
Total Nacional;;18 años;Españoles;Mujeres;2000;268.519
Total Nacional;;18 años;Extranjeros;Hombres;2006;23.203
Total Nacional;;18 años;Extranjeros;Hombres;2005;20.247
Total Nacional;;18 años;Extranjeros;Hombres;2004;16.288
Total Nacional;;18 años;Extranjeros;Hombres;2003;14.325
Total Nacional;;18 años;Extranjeros;Hombres;2002;10.835
Total Nacional;;18 años;Extranjeros;Hombres;2001;7.474
Total Nacional;;18 años;Extranjeros;Hombres;2000;5.321
Total Nacional;;18 años;Extranjeros;Mujeres;2006;20.957
Total Nacional;;18 años;Extranjeros;Mujeres;2005;18.666
Total Nacional;;18 años;Extranjeros;Mujeres;2004;15.217
Total Nacional;;18 años;Extranjeros;Mujeres;2003;13.065
Total Nacional;;18 años;Extranjeros;Mujeres;2002;9.736
Total Nacional;;18 años;Extranjeros;Mujeres;2001;6.930
Total Nacional;;18 años;Extranjeros;Mujeres;2000;4.896
Total Nacional;;19 años;Españoles;Hombres;2006;228.665
Total Nacional;;19 años;Españoles;Hombres;2005;237.387
Total Nacional;;19 años;Españoles;Hombres;2004;246.920
Total Nacional;;19 años;Españoles;Hombres;2003;255.006
Total Nacional;;19 años;Españoles;Hombres;2002;270.101
Total Nacional;;19 años;Españoles;Hombres;2001;283.979
Total Nacional;;19 años;Españoles;Hombres;2000;298.633
Total Nacional;;19 años;Españoles;Mujeres;2006;217.495
Total Nacional;;19 años;Españoles;Mujeres;2005;225.696
Total Nacional;;19 años;Españoles;Mujeres;2004;234.292
Total Nacional;;19 años;Españoles;Mujeres;2003;242.697
Total Nacional;;19 años;Españoles;Mujeres;2002;257.145
Total Nacional;;19 años;Españoles;Mujeres;2001;269.043
Total Nacional;;19 años;Españoles;Mujeres;2000;285.737
Total Nacional;;19 años;Extranjeros;Hombres;2006;25.187
Total Nacional;;19 años;Extranjeros;Hombres;2005;22.606
Total Nacional;;19 años;Extranjeros;Hombres;2004;18.293
Total Nacional;;19 años;Extranjeros;Hombres;2003;16.036
Total Nacional;;19 años;Extranjeros;Hombres;2002;12.510
Total Nacional;;19 años;Extranjeros;Hombres;2001;8.718
Total Nacional;;19 años;Extranjeros;Hombres;2000;5.175
Total Nacional;;19 años;Extranjeros;Mujeres;2006;24.472
Total Nacional;;19 años;Extranjeros;Mujeres;2005;21.362
Total Nacional;;19 años;Extranjeros;Mujeres;2004;18.235
Total Nacional;;19 años;Extranjeros;Mujeres;2003;15.791
Total Nacional;;19 años;Extranjeros;Mujeres;2002;12.245
Total Nacional;;19 años;Extranjeros;Mujeres;2001;8.318
Total Nacional;;19 años;Extranjeros;Mujeres;2000;5.068
Total Nacional;;20 años;Españoles;Hombres;2006;237.947
Total Nacional;;20 años;Españoles;Hombres;2005;247.544
Total Nacional;;20 años;Españoles;Hombres;2004;255.456
Total Nacional;;20 años;Españoles;Hombres;2003;270.423
Total Nacional;;20 años;Españoles;Hombres;2002;284.390
Total Nacional;;20 años;Españoles;Hombres;2001;298.825
Total Nacional;;20 años;Españoles;Hombres;2000;310.068
Total Nacional;;20 años;Españoles;Mujeres;2006;226.203
Total Nacional;;20 años;Españoles;Mujeres;2005;235.042
Total Nacional;;20 años;Españoles;Mujeres;2004;243.319
Total Nacional;;20 años;Españoles;Mujeres;2003;257.719
Total Nacional;;20 años;Españoles;Mujeres;2002;269.520
Total Nacional;;20 años;Españoles;Mujeres;2001;285.921
Total Nacional;;20 años;Españoles;Mujeres;2000;296.212
Total Nacional;;20 años;Extranjeros;Hombres;2006;29.030
Total Nacional;;20 años;Extranjeros;Hombres;2005;26.251
Total Nacional;;20 años;Extranjeros;Hombres;2004;21.533
Total Nacional;;20 años;Extranjeros;Hombres;2003;20.350
Total Nacional;;20 años;Extranjeros;Hombres;2002;15.635
Total Nacional;;20 años;Extranjeros;Hombres;2001;10.125
Total Nacional;;20 años;Extranjeros;Hombres;2000;5.450
Total Nacional;;20 años;Extranjeros;Mujeres;2006;28.340
Total Nacional;;20 años;Extranjeros;Mujeres;2005;25.691
Total Nacional;;20 años;Extranjeros;Mujeres;2004;21.848
Total Nacional;;20 años;Extranjeros;Mujeres;2003;19.872
Total Nacional;;20 años;Extranjeros;Mujeres;2002;14.863
Total Nacional;;20 años;Extranjeros;Mujeres;2001;9.892
Total Nacional;;20 años;Extranjeros;Mujeres;2000;5.332
Total Nacional;;21 años;Españoles;Hombres;2006;248.031
Total Nacional;;21 años;Españoles;Hombres;2005;256.159
Total Nacional;;21 años;Españoles;Hombres;2004;270.677
Total Nacional;;21 años;Españoles;Hombres;2003;284.850
Total Nacional;;21 años;Españoles;Hombres;2002;299.281
Total Nacional;;21 años;Españoles;Hombres;2001;310.401
Total Nacional;;21 años;Españoles;Hombres;2000;327.752
Total Nacional;;21 años;Españoles;Mujeres;2006;235.545
Total Nacional;;21 años;Españoles;Mujeres;2005;243.919
Total Nacional;;21 años;Españoles;Mujeres;2004;257.921
Total Nacional;;21 años;Españoles;Mujeres;2003;270.012
Total Nacional;;21 años;Españoles;Mujeres;2002;286.298
Total Nacional;;21 años;Españoles;Mujeres;2001;296.229
Total Nacional;;21 años;Españoles;Mujeres;2000;312.589
Total Nacional;;21 años;Extranjeros;Hombres;2006;33.531
Total Nacional;;21 años;Extranjeros;Hombres;2005;31.054
Total Nacional;;21 años;Extranjeros;Hombres;2004;27.105
Total Nacional;;21 años;Extranjeros;Hombres;2003;24.748
Total Nacional;;21 años;Extranjeros;Hombres;2002;18.853
Total Nacional;;21 años;Extranjeros;Hombres;2001;12.128
Total Nacional;;21 años;Extranjeros;Hombres;2000;5.786
Total Nacional;;21 años;Extranjeros;Mujeres;2006;33.556
Total Nacional;;21 años;Extranjeros;Mujeres;2005;30.461
Total Nacional;;21 años;Extranjeros;Mujeres;2004;26.947
Total Nacional;;21 años;Extranjeros;Mujeres;2003;23.797
Total Nacional;;21 años;Extranjeros;Mujeres;2002;17.873
Total Nacional;;21 años;Extranjeros;Mujeres;2001;11.228
Total Nacional;;21 años;Extranjeros;Mujeres;2000;5.844
Total Nacional;;22 años;Españoles;Hombres;2006;256.704
Total Nacional;;22 años;Españoles;Hombres;2005;271.272
Total Nacional;;22 años;Españoles;Hombres;2004;285.085
Total Nacional;;22 años;Españoles;Hombres;2003;299.595
Total Nacional;;22 años;Españoles;Hombres;2002;310.388
Total Nacional;;22 años;Españoles;Hombres;2001;328.181
Total Nacional;;22 años;Españoles;Hombres;2000;334.408
Total Nacional;;22 años;Españoles;Mujeres;2006;244.307
Total Nacional;;22 años;Españoles;Mujeres;2005;258.523
Total Nacional;;22 años;Españoles;Mujeres;2004;270.220
Total Nacional;;22 años;Españoles;Mujeres;2003;286.473
Total Nacional;;22 años;Españoles;Mujeres;2002;296.516
Total Nacional;;22 años;Españoles;Mujeres;2001;312.594
Total Nacional;;22 años;Españoles;Mujeres;2000;318.653
Total Nacional;;22 años;Extranjeros;Hombres;2006;39.298
Total Nacional;;22 años;Extranjeros;Hombres;2005;38.609
Total Nacional;;22 años;Extranjeros;Hombres;2004;32.265
Total Nacional;;22 años;Extranjeros;Hombres;2003;29.953
Total Nacional;;22 años;Extranjeros;Hombres;2002;22.103
Total Nacional;;22 años;Extranjeros;Hombres;2001;13.681
Total Nacional;;22 años;Extranjeros;Hombres;2000;5.973
Total Nacional;;22 años;Extranjeros;Mujeres;2006;38.364
Total Nacional;;22 años;Extranjeros;Mujeres;2005;36.782
Total Nacional;;22 años;Extranjeros;Mujeres;2004;31.430
Total Nacional;;22 años;Extranjeros;Mujeres;2003;27.916
Total Nacional;;22 años;Extranjeros;Mujeres;2002;20.019
Total Nacional;;22 años;Extranjeros;Mujeres;2001;12.527
Total Nacional;;22 años;Extranjeros;Mujeres;2000;6.493
Total Nacional;;23 años;Españoles;Hombres;2006;271.659
Total Nacional;;23 años;Españoles;Hombres;2005;285.655
Total Nacional;;23 años;Españoles;Hombres;2004;299.752
Total Nacional;;23 años;Españoles;Hombres;2003;310.748
Total Nacional;;23 años;Españoles;Hombres;2002;328.627
Total Nacional;;23 años;Españoles;Hombres;2001;334.807
Total Nacional;;23 años;Españoles;Hombres;2000;343.402
Total Nacional;;23 años;Españoles;Mujeres;2006;258.977
Total Nacional;;23 años;Españoles;Mujeres;2005;270.927
Total Nacional;;23 años;Españoles;Mujeres;2004;286.304
Total Nacional;;23 años;Españoles;Mujeres;2003;296.851
Total Nacional;;23 años;Españoles;Mujeres;2002;312.788
Total Nacional;;23 años;Españoles;Mujeres;2001;318.601
Total Nacional;;23 años;Españoles;Mujeres;2000;329.919
Total Nacional;;23 años;Extranjeros;Hombres;2006;47.828
Total Nacional;;23 años;Extranjeros;Hombres;2005;44.949
Total Nacional;;23 años;Extranjeros;Hombres;2004;37.935
Total Nacional;;23 años;Extranjeros;Hombres;2003;34.247
Total Nacional;;23 años;Extranjeros;Hombres;2002;24.979
Total Nacional;;23 años;Extranjeros;Hombres;2001;15.005
Total Nacional;;23 años;Extranjeros;Hombres;2000;6.556
Total Nacional;;23 años;Extranjeros;Mujeres;2006;45.179
Total Nacional;;23 años;Extranjeros;Mujeres;2005;42.008
Total Nacional;;23 años;Extranjeros;Mujeres;2004;36.176
Total Nacional;;23 años;Extranjeros;Mujeres;2003;31.080
Total Nacional;;23 años;Extranjeros;Mujeres;2002;22.114
Total Nacional;;23 años;Extranjeros;Mujeres;2001;13.854
Total Nacional;;23 años;Extranjeros;Mujeres;2000;7.056
Total Nacional;;24 años;Españoles;Hombres;2006;286.108
Total Nacional;;24 años;Españoles;Hombres;2005;300.308
Total Nacional;;24 años;Españoles;Hombres;2004;310.798
Total Nacional;;24 años;Españoles;Hombres;2003;328.976
Total Nacional;;24 años;Españoles;Hombres;2002;335.316
Total Nacional;;24 años;Españoles;Hombres;2001;343.851
Total Nacional;;24 años;Españoles;Hombres;2000;344.197
Total Nacional;;24 años;Españoles;Mujeres;2006;271.416
Total Nacional;;24 años;Españoles;Mujeres;2005;286.924
Total Nacional;;24 años;Españoles;Mujeres;2004;296.715
Total Nacional;;24 años;Españoles;Mujeres;2003;313.014
Total Nacional;;24 años;Españoles;Mujeres;2002;318.838
Total Nacional;;24 años;Españoles;Mujeres;2001;329.805
