edad,sexo,año,total
21,hombre,2006,248.031
21,hombre,2005,256.159
21,hombre,2004,270.677
21,mujer,2006,235.545
21,mujer,2005,243.919
21,mujer,2004,257.921
21,hombre,2006,33.531
21,hombre,2005,31.054
21,hombre,2004,27.105
21,mujer,2006,33.556
21,mujer,2005,30.461
21,mujer,2004,26.947
22,hombre,2006,256.704
22,hombre,2005,271.272
22,hombre,2004,285.085
22,mujer,2006,244.307
22,mujer,2005,258.523
22,mujer,2004,270.22
22,hombre,2006,39.298
22,hombre,2005,38.609
22,hombre,2004,32.265
22,mujer,2006,38.364
22,mujer,2005,36.782
22,mujer,2004,31.43
23,hombre,2006,271.659
23,hombre,2005,285.655
23,hombre,2004,299.752
23,mujer,2006,258.977
23,mujer,2005,270.927
23,mujer,2004,286.304
23,hombre,2006,47.828
23,hombre,2005,44.949
23,hombre,2004,37.935
23,mujer,2006,45.179
23,mujer,2005,42.008
23,mujer,2004,36.176
24,hombre,2006,286.108
24,hombre,2005,300.308
24,hombre,2004,310.798
24,mujer,2006,271.416
24,mujer,2005,286.924
24,mujer,2004,296.715
24,hombre,2006,54.253
24,hombre,2005,52.175
24,hombre,2004,42.934
24,mujer,2006,50.317
24,mujer,2005,47.38
24,mujer,2004,39.462
25,hombre,2006,300.8
25,hombre,2005,311.37
25,hombre,2004,328.892
25,mujer,2006,287.428
25,mujer,2005,297.427
25,mujer,2004,312.762
25,hombre,2006,62.382
25,hombre,2005,57.624
25,hombre,2004,47.34
25,mujer,2006,55.512
25,mujer,2005,50.785
25,mujer,2004,42.225
26,hombre,2006,311.872
26,hombre,2005,329.593
26,hombre,2004,335.608
26,mujer,2006,298.031
26,mujer,2005,313.598
26,mujer,2004,318.794
26,hombre,2006,67.049
26,hombre,2005,62.733
26,hombre,2004,50.307
26,mujer,2006,58.062
26,mujer,2005,53.151
26,mujer,2004,43.375
27,hombre,2006,330.134
27,hombre,2005,336.224
27,hombre,2004,344.436
27,mujer,2006,314.137
27,mujer,2005,319.775
27,mujer,2004,330.038
27,hombre,2006,71.43
27,hombre,2005,65.423
27,hombre,2004,51.849
27,mujer,2006,59.936
27,mujer,2005,53.75
27,mujer,2004,43.699
28,hombre,2006,336.908
28,hombre,2005,345.228
28,hombre,2004,345.227
28,mujer,2006,320.49
28,mujer,2005,330.899
28,mujer,2004,329.792
28,hombre,2006,73.921
28,hombre,2005,66.181
28,hombre,2004,52.68
28,mujer,2006,59.641
28,mujer,2005,53.271
28,mujer,2004,43.128
29,hombre,2006,345.936
29,hombre,2005,345.985
29,hombre,2004,342.804
29,mujer,2006,331.781
29,mujer,2005,330.688
29,mujer,2004,329.297
29,hombre,2006,73.703
29,hombre,2005,66.479
29,hombre,2004,52.526
29,mujer,2006,58.563
29,mujer,2005,52.18
29,mujer,2004,42.557
30,hombre,2006,346.671
30,hombre,2005,343.743
30,hombre,2004,337.837
30,mujer,2006,331.46
30,mujer,2005,330.571
30,mujer,2004,323.481
30,hombre,2006,73.245
30,hombre,2005,65.738
30,hombre,2004,51.008
30,mujer,2006,56.729
30,mujer,2005,50.809
30,mujer,2004,40.765
31,hombre,2006,344.612
31,hombre,2005,338.872
31,hombre,2004,336.908
31,mujer,2006,331.479
31,mujer,2005,324.515
31,mujer,2004,324.278
31,hombre,2006,71.988
31,hombre,2005,62.788
31,hombre,2004,51.12
31,mujer,2006,54.862
31,mujer,2005,48.266
31,mujer,2004,39.656
32,hombre,2006,339.598
32,hombre,2005,337.778
32,hombre,2004,333.185
32,mujer,2006,325.601
32,mujer,2005,325.319
32,mujer,2004,320.859
32,hombre,2006,67.902
32,hombre,2005,62.602
32,hombre,2004,48.398
32,mujer,2006,51.83
32,mujer,2005,46.92
32,mujer,2004,38.506
33,hombre,2006,338.622
33,hombre,2005,334.162
33,hombre,2004,328.869
33,mujer,2006,326.321
33,mujer,2005,321.972
33,mujer,2004,318.257
33,hombre,2006,67.496
33,hombre,2005,58.522
